No,Car_name,Engine,Seats,kms_driven,Fuel_type,Transmission,Ownership,Manufacture,Car_prices
893,Chevrolet Spark 1.0 E,1248 cc,5 Seats,"81,000 kms",Petrol,Manual,1st Owner,2009,1.05 Lakh
894,Chevrolet Sail Hatchback 1.2 LS,1998 cc,5 Seats,"30,000 kms",Petrol,Manual,1st Owner,2017,3.65 Lakh
895,Maruti Vitara Brezza ZDi Plus,1950 cc,5 Seats,"1,00,000 kms",Diesel,Manual,2nd Owner,2019,8 Lakh
896,Volvo XC60 B5 Inscripition,1582 cc,5 Seats,"7,000 kms",Petrol,Automatic,1st Owner,2022,68.50 Lakh
897,Mercedes-Benz E-Class Exclusive E 220d,1497 cc,5 Seats,"18,770 kms",Diesel,Automatic,1st Owner,2018,56 Lakh
898,Hyundai Verna 1.6 CRDI SX Option,1995 cc,5 Seats,"85,680 kms",Diesel,Manual,1st Owner,2017,9.25 Lakh
899,Honda City i VTEC V,998 cc,5 Seats,"61,548 kms",Petrol,Manual,1st Owner,2016,7.25 Lakh
900,BMW X1 sDrive 20d xLine,1248 cc,5 Seats,"25,000 kms",Diesel,Automatic,1st Owner,2019,30 Lakh
901,Maruti A-Star Vxi,1197 cc,5 Seats,"1,00,000 kms",Petrol,Manual,4th Owner,2009,1.40 Lakh
902,Maruti Swift LDI BSIV,2987 cc,5 Seats,"80,000 kms",Diesel,Manual,1st Owner,2016,4.25 Lakh
903,Hyundai i20 Magna,1396 cc,5 Seats,"5,000 kms",Petrol,Manual,1st Owner,2021,7 Lakh
904,Maserati Ghibli Diesel BSIV,2179 cc,5 Seats,"12,000 kms",Diesel,Automatic,1st Owner,2016,66 Lakh
905,Hyundai i20 1.4 Asta,1197 cc,8 Seats,"84,250 kms",Diesel,Manual,2nd Owner,2017,6.90 Lakh
906,Mahindra Scorpio 2.6 SLX CRDe,2143 cc,5 Seats,"1,20,000 kms",Diesel,Manual,3rd Owner,2002,1.80 Lakh
907,Hyundai Venue S,1197 cc,5 Seats,"35,000 kms",Petrol,Manual,1st Owner,2020,8 Lakh
908,Mercedes-Benz C-Class C 220 CDI Avantgarde,1248 cc,5 Seats,"37,000 kms",Diesel,Automatic,2nd Owner,2015,21.50 Lakh
909,Hyundai i20 Sportz Option 1.2,1498 cc,5 Seats,"72,000 kms",Petrol,Manual,1st Owner,2016,5.65 Lakh
910,Maruti SX4 S Cross Zeta DDiS 200 SH,2967 cc,5 Seats,"72,000 kms",Diesel,Manual,1st Owner,2019,8.45 Lakh
911,Skoda Rapid 1.5 TDI Ambition,1396 cc,5 Seats,"80,250 kms",Diesel,Manual,2nd Owner,2014,4.50 Lakh
912,Porsche Cayenne Diesel Platinum Edition,1197 cc,5 Seats,"50,000 kms",Diesel,Automatic,1st Owner,2016,58 Lakh
913,Hyundai i20 Asta 1.4 CRDi,1498 cc,5 Seats,"75,000 kms",Diesel,Manual,1st Owner,2016,5.20 Lakh
914,Maruti Baleno Alpha CVT,1991 cc,5 Seats,"48,763 kms",Petrol,Automatic,1st Owner,2018,7 Lakh
915,Honda City i DTec S,1199 cc,5 Seats,"34,142 kms",Diesel,Manual,1st Owner,2016,7.25 Lakh
916,Mercedes-Benz E-Class Exclusive E 200,999 cc,5 Seats,"8,900 kms",Petrol,Automatic,1st Owner,2021,67 Lakh
917,Honda WR-V i-VTEC S,1462 cc,7 Seats,"25,000 kms",Petrol,Manual,1st Owner,2019,6.75 Lakh
918,Renault Triber RXZ,1950 cc,7 Seats,"25,000 kms",Petrol,Manual,1st Owner,2021,7 Lakh
919,Maruti Ertiga VXI,1199 cc,5 Seats,"70,000 kms",Petrol,Manual,2nd Owner,2019,7.70 Lakh
920,Mercedes-Benz C-Class Progressive C 200,1197 cc,5 Seats,"28,000 kms",Petrol,Automatic,1st Owner,2019,42.50 Lakh
921,Tata Altroz XT,998 cc,5 Seats,"21,000 kms",Petrol,Manual,1st Owner,2020,6.50 Lakh
922,Hyundai i20 Magna,1995 cc,5 Seats,"40,000 kms",Petrol,Manual,1st Owner,2020,5.70 Lakh
923,Maruti Wagon R LXI BS IV,2179 cc,5 Seats,"40,000 kms",Petrol,Manual,1st Owner,2014,3.15 Lakh
924,BMW 5 Series 525d Luxury Line,1388 cc,7 Seats,"65,500 kms",Diesel,Automatic,1st Owner,2015,25.75 Lakh
925,Tata Safari Storme EX,2523 cc,5 Seats,"90,000 kms",Diesel,Manual,1st Owner,2014,5.80 Lakh
926,Ford Fiesta 1.4 ZXi Duratec,4461 cc,7 Seats,"1,79,000 kms",Petrol,Manual,2nd Owner,2009,1.50 Lakh
927,Mahindra Bolero EX NON AC,1197 cc,7 Seats,"40,000 kms",Diesel,Manual,1st Owner,2016,5.10 Lakh
928,Toyota Land Cruiser VX,796 cc,5 Seats,"27,000 kms",Diesel,Automatic,1st Owner,2019,1.69 Crore
929,Hyundai i20 Sportz 1.2,1598 cc,5 Seats,"70,000 kms",Petrol,Manual,3rd Owner,2016,5.25 Lakh
930,Maruti Alto LX,1998 cc,5 Seats,"60,000 kms",Petrol,Manual,2nd Owner,2005,"65,000"
931,Volkswagen Vento Magnific 1.6 Highline,1373 cc,5 Seats,"40,000 kms",Petrol,Manual,1st Owner,2015,4.99 Lakh
932,BMW X1 sDrive20i xLine,1061 cc,7 Seats,"10,000 kms",Petrol,Automatic,1st Owner,2021,40 Lakh
933,Maruti Ertiga VXI,1197 cc,5 Seats,"40,000 kms",Petrol,Manual,2nd Owner,2015,5.95 Lakh
934,Maruti Zen Estilo 1.1 LX BSIII,2179 cc,5 Seats,"29,081 kms",Petrol,Manual,3rd Owner,2006,"89,000"
935,Hyundai Xcent 1.2 VTVT S,1984 cc,7 Seats,"30,000 kms",Petrol,Manual,1st Owner,2018,5.36 Lakh
936,Tata Hexa XT,1197 cc,5 Seats,"66,000 kms",Diesel,Manual,1st Owner,2017,10.95 Lakh
937,Audi Q5 2.0 TFSI Quattro,1198 cc,5 Seats,"80,000 kms",Petrol,Automatic,2nd Owner,2012,12 Lakh
938,Maruti Swift Dzire VXI,1998 cc,2 Seats,"6,200 kms",Petrol,Manual,1st Owner,2022,7.20 Lakh
939,Maruti Super Carry STD,796 cc,4 Seats,"20,000 kms",Petrol,Manual,2nd Owner,2021,4.70 Lakh
940,Mini 3 DOOR John Cooper Works 2019-2020,1197 cc,4 Seats,"40,000 kms",Petrol,Automatic,2nd Owner,2017,34.50 Lakh
941,Maruti 800 Std MPFi,1599 cc,5 Seats,"80,000 kms",Petrol,Manual,2nd Owner,2003,"65,000"
942,Maruti Baleno Delta,2400 cc,5 Seats,"20,000 kms",Petrol,Manual,1st Owner,2020,6.50 Lakh
943,Chevrolet Optra 1.6,796 cc,5 Seats,"60,000 kms",Petrol,Manual,3rd Owner,2006,1.50 Lakh
944,Volvo XC60 D5 Inscription,2179 cc,4 Seats,"34,000 kms",Diesel,Automatic,1st Owner,2019,54.50 Lakh
945,Maruti 800 DX 5 Speed,796 cc,7 Seats,"30,000 kms",Petrol,Manual,1st Owner,2002,"55,000"
946,Mahindra Scorpio S5 BSIV,1999 cc,4 Seats,"1,20,000 kms",Diesel,Manual,1st Owner,2019,11.50 Lakh
947,Maruti 800 Std,1197 cc,7 Seats,"50,000 kms",Petrol,Manual,4th Owner,2000,"45,000"
948,Land Rover Discovery Sport TD4 HSE 7S,1799 cc,5 Seats,"38,000 kms",Diesel,Automatic,1st Owner,2020,48.75 Lakh
949,Maruti Swift VXI with ABS,998 cc,5 Seats,"85,000 kms",Petrol,Manual,2nd Owner,2006,1.25 Lakh
950,Honda Civic ZX,2925 cc,5 Seats,"25,000 kms",Petrol,Automatic,1st Owner,2019,17 Lakh
951,Maruti Zen Estilo VXI BSIII,1498 cc,5 Seats,"1,20,000 kms",Petrol,Manual,2nd Owner,2007,"95,000"
952,Mercedes-Benz S-Class S 350d,2499 cc,7 Seats,"1,400 kms",Diesel,Automatic,1st Owner,2022,1.77 Crore
953,Honda BR-V i-DTEC E MT,1461 cc,7 Seats,"65,500 kms",Diesel,Manual,1st Owner,2017,6.50 Lakh
954,Chevrolet Tavera B2 8 Seats BSIII,998 cc,8 Seats,"3,80,000 kms",Diesel,Manual,4th Owner,2008,1.70 Lakh
955,Renault Lodgy Stepway Edition 8 Seater,993 cc,5 Seats,"50,000 kms",Diesel,Manual,2nd Owner,2016,7 Lakh
956,Maruti S-Presso VXI Plus 2019-2022,796 cc,5 Seats,"40,000 kms",Petrol,Manual,1st Owner,2019,3.90 Lakh
957,Maruti Zen LXI,1396 cc,5 Seats,"1,00,000 kms",Petrol,Manual,2nd Owner,2000,"39,000"
958,Maruti Alto 800 tour H1 (O),2523 cc,5 Seats,"5,000 kms",Petrol,Manual,1st Owner,2021,3.78 Lakh
959,Hyundai i20 Sportz 1.4 CRDi,998 cc,5 Seats,"90,000 kms",Diesel,Manual,1st Owner,2016,5.50 Lakh
960,Mahindra Marshal DI,2179 cc,8 Seats,"1,00,000 kms",Diesel,Manual,1st Owner,2004,4.90 Lakh
961,Maruti Alto K10 VXI,2179 cc,8 Seats,"50,000 kms",Petrol,Manual,3rd Owner,2018,2.90 Lakh
962,Mahindra Scorpio Sle,1461 cc,5 Seats,"1,10,000 kms",Diesel,Manual,4th Owner,2010,3.50 Lakh
963,Mahindra Scorpio VLS AT 2.2 mHAWK,998 cc,5 Seats,"1,20,000 kms",Diesel,Automatic,2nd Owner,2012,4.80 Lakh
964,Renault Duster 85PS Diesel RxL,1968 cc,5 Seats,"1,16,000 kms",Diesel,Manual,1st Owner,2015,4.75 Lakh
965,Maruti Wagon R AMT VXI,2523 cc,7 Seats,"25,000 kms",Petrol,Automatic,1st Owner,2017,4.26 Lakh
966,Skoda Octavia 2.0 TDI AT Style Plus,1299 cc,5 Seats,"75,000 kms",Diesel,Automatic,2nd Owner,2017,14 Lakh
967,Mahindra Bolero SLX 2WD BSIII,1061 cc,5 Seats,"1,20,000 kms",Diesel,Manual,4th Owner,2013,4 Lakh
968,Ford Ikon 1.3 CLXi,796 cc,5 Seats,"70,000 kms",Petrol,Manual,2nd Owner,2004,1.20 Lakh
969,Maruti Wagon R LXI Minor,799 cc,5 Seats,"90,000 kms",Petrol,Manual,1st Owner,2009,1.60 Lakh
970,Maruti Alto LX BSIII,1493 cc,5 Seats,"1,20,000 kms",Petrol,Manual,4th Owner,2010,1 Lakh
971,Renault KWID RXT,1196 cc,7 Seats,"25,000 kms",Petrol,Manual,1st Owner,2020,4.30 Lakh
972,Honda City 1.5 EXI,998 cc,5 Seats,"2,63,000 kms",Petrol,Manual,1st Owner,2004,1.75 Lakh
973,Maruti Eeco 7 Seater Standard BSIV,1061 cc,5 Seats,"1,10,000 kms",Petrol,Manual,1st Owner,2017,2.70 Lakh
974,Maruti Wagon R VXI Optional,1248 cc,5 Seats,"10,000 kms",Petrol,Manual,3rd Owner,2018,4 Lakh
975,Maruti Wagon R LX Minor Duo LPG,1196 cc,5 Seats,"1,37,535 kms",Lpg,Manual,1st Owner,2007,1 Lakh
976,Maruti Swift VDI Optional,1956 cc,5 Seats,"90,000 kms",Diesel,Manual,2nd Owner,2015,3.70 Lakh
977,Maruti Eeco CNG 5 Seater AC,1196 cc,5 Seats,"35,000 kms",Cng,Manual,1st Owner,2021,4.03 Lakh
978,Jeep Compass 2.0 Limited,1582 cc,5 Seats,"40,000 kms",Diesel,Manual,1st Owner,2019,16 Lakh
979,Maruti Eeco 5 Seater STD 2020-2022,1582 cc,5 Seats,"39,000 kms",Petrol,Manual,1st Owner,2020,5.20 Lakh
980,Hyundai Creta 1.6 SX Automatic Diesel,998 cc,5 Seats,"73,200 kms",Diesel,Automatic,1st Owner,2018,15.90 Lakh
981,Hyundai Verna 1.6 CRDi SX,1197 cc,5 Seats,"88,500 kms",Diesel,Manual,1st Owner,2017,9.90 Lakh
982,Maruti Alto K10 VXI,1497 cc,5 Seats,"49,000 kms",Petrol,Manual,1st Owner,2018,3.60 Lakh
983,Hyundai i20 Asta Option,1498 cc,5 Seats,"45,000 kms",Petrol,Manual,1st Owner,2018,7.40 Lakh
984,Honda City GXi,1199 cc,5 Seats,"1,14,862 kms",Petrol,Manual,1st Owner,2008,1.81 Lakh
985,Honda City i DTEC V,1061 cc,5 Seats,"1,47,947 kms",Diesel,Manual,1st Owner,2015,9.50 Lakh
986,Honda Amaze VX CVT,1198 cc,5 Seats,"4,391 kms",Petrol,Automatic,1st Owner,2022,9.47 Lakh
